case_id,family,length,strategy,median_ns
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,merge,53812.5
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,insertion,49229.5
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,hybrid-1,49208.0
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,hybrid-8,32292.0
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,hybrid-24,49583.0
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,hybrid-64,53583.5
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,best_fixed,51916.0
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,manual_rule,62062.5
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,decision_tree,44083.0
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,tree_plan_only,32125.0
a2c0659604c683fe0206b74967c247a2513b7f555eabe1ec85f585e0cdb6350a,reverse,23,oracle,32292.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,merge,107188.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,insertion,62187.5
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,hybrid-1,117729.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,hybrid-8,83229.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,hybrid-24,55437.5
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,hybrid-64,63229.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,best_fixed,58750.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,manual_rule,79812.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,decision_tree,77729.0
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,tree_plan_only,53562.5
40aaa77d156de19b25392bb578f20636fb63410b4fa3fd89a64a086a59691fe0,runs,39,oracle,55437.5
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,merge,49687.5
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,insertion,27062.5
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,hybrid-1,52146.0
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,hybrid-8,32187.0
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,hybrid-24,28354.5
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,hybrid-64,28229.5
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,best_fixed,29604.0
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,manual_rule,38625.0
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,decision_tree,37437.5
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,tree_plan_only,27041.5
fcbfcebc604340f7ae1ae29f4973e55822ab76d764df97e448b290ed232b7582,organ_pipe,23,oracle,27062.5
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,merge,97521.0
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,insertion,159958.0
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,hybrid-1,97437.5
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,hybrid-8,65562.0
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,hybrid-24,85312.5
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,hybrid-64,138708.0
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,best_fixed,94542.0
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,manual_rule,124271.0
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,decision_tree,84333.5
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,tree_plan_only,63749.5
17f7eab7c3d900d32f776a2dff9bf79ccf89bc0f02875b019b3b44ed1e99965a,reverse,39,oracle,65562.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,merge,66542.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,insertion,24062.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-1,64000.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-8,37437.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-24,22354.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,hybrid-64,21916.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,best_fixed,22104.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,manual_rule,30979.0
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,decision_tree,30958.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,tree_plan_only,22437.5
f0b6c582c524d08150981a5241e2afca6932046f59e333687851f0d4066acd9e,duplicates,23,oracle,21916.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,merge,46187.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,insertion,8521.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-1,47125.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-8,22166.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-24,8167.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,hybrid-64,7812.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,best_fixed,8125.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,manual_rule,18875.0
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,decision_tree,19687.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,tree_plan_only,8104.5
8f4c956c889b6f2c1c2f578b976d6a3d82318070ca19cf5d151027df3b180c81,nearly_sorted,23,oracle,7812.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,merge,60125.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,insertion,25187.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-1,61812.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-8,39229.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-24,27916.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,hybrid-64,27479.5
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,best_fixed,27750.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,manual_rule,37625.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,decision_tree,37458.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,tree_plan_only,26500.0
e56c06bd8becf8e74f04559f45b3f92d9cb63c7b2d9f45083b6b9d312e363214,skewed,23,oracle,25187.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,merge,127729.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,insertion,79979.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-1,150437.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-8,93729.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-24,66562.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,hybrid-64,78896.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,best_fixed,64625.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,manual_rule,82729.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,decision_tree,79999.5
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,tree_plan_only,61042.0
07fb5c8d652ba5f84a1716a755dc12cb9eb7f610c9670f44d58a6d664467caa7,skewed,39,oracle,66562.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,merge,89541.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,insertion,13604.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-1,82041.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-8,45833.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-24,24312.5
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,hybrid-64,12958.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,best_fixed,24146.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,manual_rule,29646.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,decision_tree,29771.0
3662ec99bb2604ca99006f50ab4a2585e88bbc3d4fc8091919fa5fb8e2cab1d8,nearly_sorted,39,tree_plan_only,13083.5
