case_id,family,length,strategy,median_ns
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,merge,1137917
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,insertion,5224375
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,hybrid-1,1130333
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,hybrid-8,824958
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,hybrid-24,737208
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,hybrid-64,748666
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,best_fixed,730000
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,manual_rule,825583
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,decision_tree,825291
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,tree_plan_only,718167
107e2c7e11a3aecc2e363d564b2dc51d24dae614890e8b2c6e5b51f37b04fed0,duplicates,263,oracle,737208
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,merge,905542
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,insertion,13205792
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,hybrid-1,893625
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,hybrid-8,664791
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,hybrid-24,666792
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,hybrid-64,789084
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,best_fixed,649042
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,manual_rule,749541
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,decision_tree,736916
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,tree_plan_only,650917
87562a62da2f00bd3e218b73666af1cb19ad4aef75c1672f542aa2ad66a73e86,organ_pipe,263,oracle,664791
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,merge,838167
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,insertion,86875
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,hybrid-1,823417
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,hybrid-8,504708
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,hybrid-24,403625
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,hybrid-64,324458
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,best_fixed,400250
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,manual_rule,175917
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,decision_tree,177791
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,tree_plan_only,86875
f7ac7ef639a3e36156f6ad549e51d8280a382deed47145efad094b954ea07a15,sorted,263,oracle,86875
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,merge,185209
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,insertion,23375
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,hybrid-1,179708
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,hybrid-8,110334
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,hybrid-24,68250
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,hybrid-64,46459
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,best_fixed,68334
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,manual_rule,52875
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,decision_tree,53000
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,tree_plan_only,23625
c02c374f52dc84d86c93766dc9a0f5088bc39cd075dfe6e4e008c68364f89ef0,sorted,71,oracle,23375
883def6ee759870254e6cbe0e454c8d71a496bd9d80b5e4831286f976927909f,nearly_sorted,263,merge,831333
