strategy,baseline,domain,cases,smaller_proved_envelope_cases,fewer_actual_comparison_cases,lower_median_time_cases,sum_actual_comparisons,baseline_sum_actual_comparisons,sum_case_median_e2e_ns,baseline_sum_case_median_e2e_ns
p000_two_insertion,single_merge,all,20,10,8,6,1061,875,2388708,1624793
p000_two_insertion,single_merge,ready,20,10,8,6,1061,875,2388708,1624793
p000_two_insertion,single_insertion,all,20,17,13,15,1061,1649,2388708,5917001
p000_two_insertion,single_insertion,ready,20,17,13,15,1061,1649,2388708,5917001
p000_two_insertion,single_hybrid_4,all,20,0,3,4,1061,857,2388708,1525583
p000_two_insertion,single_hybrid_4,ready,20,0,3,4,1061,857,2388708,1525583
p000_two_insertion,single_hybrid_8,all,20,8,9,7,1061,905,2388708,1666752
p000_two_insertion,single_hybrid_8,ready,20,8,9,7,1061,905,2388708,1666752
p000_two_insertion,single_hybrid_16,all,20,9,7,10,1061,1094,2388708,2352956
p000_two_insertion,single_hybrid_16,ready,20,9,7,10,1061,1094,2388708,2352956
p001_two_guarded,single_merge,all,20,0,6,10,851,875,1577123,1624793
p001_two_guarded,single_merge,ready,9,6,6,6,161,245,257373,402084
p001_two_guarded,single_insertion,all,20,8,12,13,851,1649,1577123,5917001
p001_two_guarded,single_insertion,ready,9,6,2,4,161,220,257373,721709
p001_two_guarded,single_hybrid_4,all,20,0,5,7,851,857,1577123,1525583
p001_two_guarded,single_hybrid_4,ready,9,6,3,5,161,220,257373,385542
p001_two_guarded,single_hybrid_8,all,20,0,10,11,851,905,1577123,1666752
p001_two_guarded,single_hybrid_8,ready,9,6,4,5,161,191,257373,348960
p001_two_guarded,single_hybrid_16,all,20,7,10,14,851,1094,1577123,2352956
p001_two_guarded,single_hybrid_16,ready,9,6,1,4,161,160,257373,309041
p002_merge_halves,single_merge,all,20,2,0,5,875,875,1672290,1624793
p002_merge_halves,single_merge,ready,20,2,0,5,875,875,1672290,1624793
p002_merge_halves,single_insertion,all,20,17,13,13,875,1649,1672290,5917001
p002_merge_halves,single_insertion,ready,20,17,13,13,875,1649,1672290,5917001
p002_merge_halves,single_hybrid_4,all,20,0,4,3,875,857,1672290,1525583
p002_merge_halves,single_hybrid_4,ready,20,0,4,3,875,857,1672290,1525583
p002_merge_halves,single_hybrid_8,all,20,15,10,8,875,905,1672290,1666752
p002_merge_halves,single_hybrid_8,ready,20,15,10,8,875,905,1672290,1666752
p002_merge_halves,single_hybrid_16,all,20,17,12,12,875,1094,1672290,2352956
p002_merge_halves,single_hybrid_16,ready,20,17,12,12,875,1094,1672290,2352956
p003_guarded_merge,single_merge,all,20,0,4,8,851,875,1508709,1624793
p003_guarded_merge,single_merge,ready,6,4,4,4,61,137,40667,217875
p003_guarded_merge,single_insertion,all,20,8,12,16,851,1649,1508709,5917001
p003_guarded_merge,single_insertion,ready,6,4,0,5,61,61,40667,157709
p003_guarded_merge,single_hybrid_4,all,20,0,7,8,851,857,1508709,1525583
p003_guarded_merge,single_hybrid_4,ready,6,4,4,6,61,122,40667,189375
p003_guarded_merge,single_hybrid_8,all,20,0,9,12,851,905,1508709,1666752
p003_guarded_merge,single_hybrid_8,ready,6,4,2,6,61,100,40667,159834
p003_guarded_merge,single_hybrid_16,all,20,7,13,16,851,1094,1508709,2352956
p003_guarded_merge,single_hybrid_16,ready,6,4,2,6,61,83,40667,145751
p004_prefix_insertion_merge,single_merge,all,20,1,6,6,909,875,1766082,1624793
p004_prefix_insertion_merge,single_merge,ready,20,1,6,6,909,875,1766082,1624793
p004_prefix_insertion_merge,single_insertion,all,20,8,7,7,909,1649,1766082,5917001
p004_prefix_insertion_merge,single_insertion,ready,20,8,7,7,909,1649,1766082,5917001
p004_prefix_insertion_merge,single_hybrid_4,all,20,0,5,3,909,857,1766082,1525583
p004_prefix_insertion_merge,single_hybrid_4,ready,20,0,5,3,909,857,1766082,1525583
p004_prefix_insertion_merge,single_hybrid_8,all,20,0,4,2,909,905,1766082,1666752
