case_id,shape,n,check_comparisons,comparisons,conditional_upper,ready,sorting_comparisons,strategy,upper,offline_profile_ns,median_e2e_ns,min_e2e_ns,max_e2e_ns,median_check_replay_ns
20260906-8-reverse,reverse,8,0,12,24,True,12,single_merge,24,405625,13792,13792,14958,208
20260906-8-reverse,reverse,8,0,28,28,True,28,single_insertion,28,167375,33250,32125,37834,208
20260906-8-reverse,reverse,8,0,16,20,True,16,single_hybrid_4,20,32958,18000,16083,51292,209
20260906-8-reverse,reverse,8,0,28,28,True,28,single_hybrid_8,28,35458,36042,31459,39291,167
20260906-8-reverse,reverse,8,0,28,28,True,28,single_hybrid_16,28,34667,36375,31334,37959,167
20260906-8-reverse,reverse,8,0,16,20,True,16,p000_two_insertion,20,57167,20459,15791,21292,833
20260906-8-reverse,reverse,8,2,14,14,False,12,p001_two_guarded,30,24000,17458,16166,20750,2667
20260906-8-reverse,reverse,8,0,12,24,True,12,p002_merge_halves,24,18792,15625,13875,16958,791
20260906-8-reverse,reverse,8,1,13,7,False,12,p003_guarded_merge,31,19916,16458,14375,17417,958
20260906-8-reverse,reverse,8,0,28,36,True,28,p004_prefix_insertion_merge,36,45042,41667,37083,43792,792
20260906-8-reverse,reverse,8,3,19,19,False,16,p005_three_guarded,33,32792,22834,21791,23834,3917
20260906-8-reverse,reverse,8,4,16,20,False,12,p006_four_guarded,28,38000,19084,18375,21084,5375
20260906-8-reverse,reverse,8,0,22,24,True,22,p007_mixed_hybrid,24,37917,25375,24416,27125,833
20260906-8-reverse,reverse,8,0,14,22,True,14,p028_split,22,25000,16750,15792,16833,833
20260906-8-reverse,reverse,8,0,14,22,True,14,p031_nested,22,27625,17166,16042,17166,1375
20260906-8-reverse,reverse,8,0,28,36,True,28,p098_split,36,50959,39000,37958,39458,709
20260906-8-reverse,reverse,8,0,13,23,True,13,p024_split,23,28167,14625,14250,15542,792
20260906-8-reverse,reverse,8,0,13,22,True,13,p027_nested,22,30292,15167,14917,15208,1375
20260906-8-duplicates,duplicates,8,0,16,24,True,16,single_merge,24,26125,21125,20791,21125,208
20260906-8-duplicates,duplicates,8,0,21,28,True,21,single_insertion,28,29833,25583,24875,25792,208
20260906-8-duplicates,duplicates,8,0,16,20,True,16,single_hybrid_4,20,26792,18791,16750,19417,208
20260906-8-duplicates,duplicates,8,0,21,28,True,21,single_hybrid_8,28,28583,22417,22250,25875,208
20260906-8-duplicates,duplicates,8,0,21,28,True,21,single_hybrid_16,28,28292,22458,22375,25625,208
20260906-8-duplicates,duplicates,8,0,16,20,True,16,p000_two_insertion,20,28375,16875,16750,19250,1000
20260906-8-duplicates,duplicates,8,2,18,14,False,16,p001_two_guarded,30,32084,21042,20750,24334,2917
20260906-8-duplicates,duplicates,8,0,16,24,True,16,p002_merge_halves,24,26792,19083,18875,21667,875
