strategy,baseline,domain,cases,smaller_proved_envelope_cases,fewer_actual_comparison_cases,lower_median_time_cases,sum_actual_comparisons,baseline_sum_actual_comparisons,sum_case_median_e2e_ns,baseline_sum_case_median_e2e_ns
p000_two_insertion,single_merge,all,62,3,19,22,31681,13513,207753044,48984666
p000_two_insertion,single_merge,ready,62,3,19,22,31681,13513,207753044,48984666
p000_two_insertion,single_insertion,all,62,59,49,57,31681,61999,207753044,775401998
p000_two_insertion,single_insertion,ready,62,59,49,57,31681,61999,207753044,775401998
p000_two_insertion,single_hybrid_4,all,62,0,17,15,31681,13315,207753044,48115997
p000_two_insertion,single_hybrid_4,ready,62,0,17,15,31681,13315,207753044,48115997
p000_two_insertion,single_hybrid_8,all,62,1,13,13,31681,13625,207753044,49186333
p000_two_insertion,single_hybrid_8,ready,62,1,13,13,31681,13625,207753044,49186333
p000_two_insertion,single_hybrid_16,all,62,16,21,18,31681,16172,207753044,59485170
p000_two_insertion,single_hybrid_16,ready,62,16,21,18,31681,16172,207753044,59485170
p001_two_guarded,single_merge,all,62,0,18,25,12455,13513,45055958,48984666
p001_two_guarded,single_merge,ready,21,18,18,18,1667,3279,6064542,10441168
p001_two_guarded,single_insertion,all,62,57,49,58,12455,61999,45055958,775401998
p001_two_guarded,single_insertion,ready,21,18,8,17,1667,5906,6064542,60051666
p001_two_guarded,single_hybrid_4,all,62,0,31,30,12455,13315,45055958,48115997
p001_two_guarded,single_hybrid_4,ready,21,18,17,18,1667,3034,6064542,9852375
p001_two_guarded,single_hybrid_8,all,62,0,33,35,12455,13625,45055958,49186333
p001_two_guarded,single_hybrid_8,ready,21,18,13,17,1667,2667,6064542,9344875
p001_two_guarded,single_hybrid_16,all,62,56,41,52,12455,16172,45055958,59485170
p001_two_guarded,single_hybrid_16,ready,21,18,10,17,1667,2311,6064542,9125210
p002_merge_halves,single_merge,all,62,2,0,24,13513,13513,48855000,48984666
p002_merge_halves,single_merge,ready,62,2,0,24,13513,13513,48855000,48984666
p002_merge_halves,single_insertion,all,62,59,49,53,13513,61999,48855000,775401998
p002_merge_halves,single_insertion,ready,62,59,49,53,13513,61999,48855000,775401998
p002_merge_halves,single_hybrid_4,all,62,0,17,18,13513,13315,48855000,48115997
p002_merge_halves,single_hybrid_4,ready,62,0,17,18,13513,13315,48855000,48115997
p002_merge_halves,single_hybrid_8,all,62,57,26,20,13513,13625,48855000,49186333
p002_merge_halves,single_hybrid_8,ready,62,57,26,20,13513,13625,48855000,49186333
p002_merge_halves,single_hybrid_16,all,62,59,37,39,13513,16172,48855000,59485170
p002_merge_halves,single_hybrid_16,ready,62,59,37,39,13513,16172,48855000,59485170
p003_guarded_merge,single_merge,all,62,0,10,25,13012,13513,45990791,48984666
p003_guarded_merge,single_merge,ready,12,10,10,10,495,1549,285334,3681418
p003_guarded_merge,single_insertion,all,62,57,48,60,13012,61999,45990791,775401998
p003_guarded_merge,single_insertion,ready,12,10,0,11,495,495,285334,4448625
p003_guarded_merge,single_hybrid_4,all,62,0,27,25,13012,13315,45990791,48115997
p003_guarded_merge,single_hybrid_4,ready,12,10,10,12,495,1424,285334,3398457
p003_guarded_merge,single_hybrid_8,all,62,0,30,33,13012,13625,45990791,49186333
p003_guarded_merge,single_hybrid_8,ready,12,10,9,12,495,1237,285334,3151917
p003_guarded_merge,single_hybrid_16,all,62,56,42,51,13012,16172,45990791,59485170
p003_guarded_merge,single_hybrid_16,ready,12,10,7,12,495,1024,285334,2953251
p004_prefix_insertion_merge,single_merge,all,62,1,25,29,14196,13513,56617497,48984666
p004_prefix_insertion_merge,single_merge,ready,62,1,25,29,14196,13513,56617497,48984666
