case_id,shape,n,check_comparisons,comparisons,conditional_upper,ready,sorting_comparisons,strategy,upper,offline_profile_ns,median_e2e_ns,min_e2e_ns,max_e2e_ns,median_check_replay_ns
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,39,64,True,39,single_merge,64,406167,60458,53209,64000,209
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,64,120,True,64,single_insertion,120,171541,118208,112708,123042,208
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,35,56,True,35,single_hybrid_4,56,79125,54292,51750,55916,167
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,29,72,True,29,single_hybrid_8,72,50750,48667,46291,49167,167
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,64,120,True,64,single_hybrid_16,120,115834,120334,120166,123042,167
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,29,72,True,29,p000_two_insertion,72,70500,48667,47958,48709,917
20261017-16-2_sorted_blocks,2_sorted_blocks,16,14,29,30,True,15,p001_two_guarded,78,60625,39500,39209,40292,9041
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,39,64,True,39,p002_merge_halves,64,69292,62125,61792,63208,916
20261017-16-2_sorted_blocks,2_sorted_blocks,16,8,47,15,False,39,p003_guarded_merge,79,73833,65750,60959,66333,3959
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,34,68,True,34,p004_prefix_insertion_merge,68,56583,55167,48125,56042,792
20261017-16-2_sorted_blocks,2_sorted_blocks,16,12,42,40,False,30,p005_three_guarded,88,77417,59042,51083,59584,8833
20261017-16-2_sorted_blocks,2_sorted_blocks,16,12,35,44,True,23,p006_four_guarded,76,73417,50125,44333,50334,10417
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,48,80,True,48,p007_mixed_hybrid,80,87833,75000,67167,75833,916
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,37,60,True,37,p028_split,60,70167,58000,54125,58500,917
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,37,60,True,37,p031_nested,60,72750,58375,56584,62166,1542
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,29,88,True,29,p098_split,88,63417,54750,50834,55167,917
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,42,62,True,42,p024_split,62,81416,66500,64375,71125,917
20261017-16-2_sorted_blocks,2_sorted_blocks,16,0,42,62,True,42,p027_nested,62,87750,64750,62792,67667,1542
20261017-16-random,random,16,0,47,64,True,47,single_merge,64,82500,72500,69292,77667,208
20261017-16-random,random,16,0,97,120,True,97,single_insertion,120,204584,199708,190000,206916,208
20261017-16-random,random,16,0,50,56,True,50,single_hybrid_4,56,92750,73250,66084,76167,209
20261017-16-random,random,16,0,58,72,True,58,single_hybrid_8,72,97000,80917,79667,88708,167
20261017-16-random,random,16,0,97,120,True,97,single_hybrid_16,120,200625,201083,194500,204917,208
20261017-16-random,random,16,0,58,72,True,58,p000_two_insertion,72,99958,88541,80250,96875,959
20261017-16-random,random,16,2,49,30,False,47,p001_two_guarded,78,86834,75750,71000,82084,2792
20261017-16-random,random,16,0,47,64,True,47,p002_merge_halves,64,84875,73208,65083,77083,917
20261017-16-random,random,16,1,48,15,False,47,p003_guarded_merge,79,79083,67917,66083,77625,1041
20261017-16-random,random,16,0,51,68,True,51,p004_prefix_insertion_merge,68,86917,79375,71000,88000,875
20261017-16-random,random,16,3,51,40,False,48,p005_three_guarded,88,88667,80709,72542,81208,4292
20261017-16-random,random,16,4,51,44,False,47,p006_four_guarded,76,94583,78291,71125,86750,6042
20261017-16-random,random,16,0,70,80,True,70,p007_mixed_hybrid,80,133250,121167,118125,122917,917
20261017-16-random,random,16,0,49,60,True,49,p028_split,60,88208,74417,67042,76833,959
20261017-16-random,random,16,0,49,60,True,49,p031_nested,60,92166,73958,67000,77209,1583
20261017-16-random,random,16,0,58,88,True,58,p098_split,88,108375,103333,96333,112083,1000
20261017-16-random,random,16,0,45,62,True,45,p024_split,62,90333,69833,62958,72625,958
20261017-16-random,random,16,0,45,62,True,45,p027_nested,62,93833,70500,64708,73125,1583
