stage,case_id,shape,seed,input_sha256,strategy,mode,n,run_count,run_lengths,plan,comparisons,check_comparisons,sort_comparisons,bound,tree_budget,conditional_applicable,conditional_bound,cost_source,median_ns,min_ns,max_ns,samples_ns
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,merge,reference,13,7,"[2, 2, 1, 2, 2, 3, 1]",merge,34,0,34,52,,True,52,measured and independently checked,48416,48375,49834,"[49834, 48416, 48375]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,merge,counted,13,7,"[2, 2, 1, 2, 2, 3, 1]",merge,34,0,34,52,,True,52,measured and independently checked,33833,33292,34292,"[34292, 33833, 33292]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,merge,plain,13,7,"[2, 2, 1, 2, 2, 3, 1]",merge,34,0,34,52,,True,52,proved symbolic instrumentation (not maintained),12125,12083,13666,"[12083, 13666, 12125]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,hybrid_8,reference,13,7,"[2, 2, 1, 2, 2, 3, 1]",hybrid_8,39,0,39,49,,True,49,measured and independently checked,52708,49500,58542,"[49500, 52708, 58542]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,hybrid_8,counted,13,7,"[2, 2, 1, 2, 2, 3, 1]",hybrid_8,39,0,39,49,,True,49,measured and independently checked,27708,26042,40750,"[26042, 27708, 40750]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,hybrid_8,plain,13,7,"[2, 2, 1, 2, 2, 3, 1]",hybrid_8,39,0,39,49,,True,49,proved symbolic instrumentation (not maintained),9084,8833,11375,"[9084, 8833, 11375]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,fixed_four,reference,13,7,"[2, 2, 1, 2, 2, 3, 1]",fixed_four,41,7,34,61,,False,35,measured and independently checked,57750,55791,61792,"[57750, 55791, 61792]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,fixed_four,counted,13,7,"[2, 2, 1, 2, 2, 3, 1]",fixed_four,41,7,34,61,,False,35,measured and independently checked,39542,39459,49375,"[39542, 39459, 49375]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,fixed_four,plain,13,7,"[2, 2, 1, 2, 2, 3, 1]",fixed_four,41,7,34,61,,False,35,proved symbolic instrumentation (not maintained),13500,13292,13834,"[13834, 13292, 13500]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_count,reference,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[2, [2, 1]], [[2, 2], [3, 1]]]",39,12,27,51,37,False,,measured and independently checked,62583,62000,64125,"[62583, 64125, 62000]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_count,counted,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[2, [2, 1]], [[2, 2], [3, 1]]]",39,12,27,51,37,False,,measured and independently checked,33833,33125,34125,"[33833, 33125, 34125]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_count,plain,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[2, [2, 1]], [[2, 2], [3, 1]]]",39,12,27,51,37,False,,proved symbolic instrumentation (not maintained),11708,11375,11916,"[11916, 11375, 11708]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_count,staged_reference,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[2, [2, 1]], [[2, 2], [3, 1]]]",39,12,27,51,37,False,,measured and independently checked,59667,58459,60167,"[59667, 58459, 60167]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_count,scan_only,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[2, [2, 1]], [[2, 2], [3, 1]]]",39,12,27,51,37,False,,measured and independently checked,47750,47625,48041,"[47625, 47750, 48041]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_count,merge_only,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[2, [2, 1]], [[2, 2], [3, 1]]]",39,12,27,51,37,False,,measured and independently checked,44792,44666,46250,"[44792, 44666, 46250]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_count,staged_direct,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[2, [2, 1]], [[2, 2], [3, 1]]]",39,12,27,51,37,False,,measured and independently checked,33000,31209,33584,"[31209, 33584, 33000]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_length,reference,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[[2, 2], [1, 2]], [2, [3, 1]]]",40,12,28,49,37,False,,measured and independently checked,71292,66250,72084,"[66250, 72084, 71292]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_length,counted,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[[2, 2], [1, 2]], [2, [3, 1]]]",40,12,28,49,37,False,,measured and independently checked,45000,41916,46791,"[41916, 45000, 46791]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_length,plain,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[[2, 2], [1, 2]], [2, [3, 1]]]",40,12,28,49,37,False,,proved symbolic instrumentation (not maintained),19417,19417,20500,"[19417, 19417, 20500]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_length,staged_reference,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[[2, 2], [1, 2]], [2, [3, 1]]]",40,12,28,49,37,False,,measured and independently checked,67625,67583,79959,"[67583, 79959, 67625]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_length,scan_only,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[[2, 2], [1, 2]], [2, [3, 1]]]",40,12,28,49,37,False,,measured and independently checked,55750,55750,56125,"[56125, 55750, 55750]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_length,merge_only,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[[2, 2], [1, 2]], [2, [3, 1]]]",40,12,28,49,37,False,,measured and independently checked,53125,50083,53209,"[53125, 50083, 53209]"
smoke,smoke-810001-13-random,random,810001,263ab3a58649be40d14270b5dda79461b8229e092a63eace3d54cf7abb8c8acb,runs_length,staged_direct,13,7,"[2, 2, 1, 2, 2, 3, 1]","[[[2, 2], [1, 2]], [2, [3, 1]]]",40,12,28,49,37,False,,measured and independently checked,41542,41333,41709,"[41333, 41709, 41542]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,merge,reference,13,1,[13],merge,22,0,22,52,,True,52,measured and independently checked,30541,29834,36125,"[30541, 29834, 36125]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,merge,counted,13,1,[13],merge,22,0,22,52,,True,52,measured and independently checked,26292,24000,30583,"[24000, 26292, 30583]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,merge,plain,13,1,[13],merge,22,0,22,52,,True,52,proved symbolic instrumentation (not maintained),9750,9041,11708,"[9041, 9750, 11708]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,hybrid_8,reference,13,1,[13],hybrid_8,17,0,17,49,,True,49,measured and independently checked,20625,19584,21458,"[19584, 21458, 20625]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,hybrid_8,counted,13,1,[13],hybrid_8,17,0,17,49,,True,49,measured and independently checked,15042,13625,15208,"[13625, 15208, 15042]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,hybrid_8,plain,13,1,[13],hybrid_8,17,0,17,49,,True,49,proved symbolic instrumentation (not maintained),5334,5333,5334,"[5334, 5333, 5334]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,fixed_four,reference,13,1,[13],fixed_four,21,9,12,61,,True,35,measured and independently checked,24000,23333,24125,"[24125, 24000, 23333]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,fixed_four,counted,13,1,[13],fixed_four,21,9,12,61,,True,35,measured and independently checked,17500,17459,17750,"[17459, 17750, 17500]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,fixed_four,plain,13,1,[13],fixed_four,21,9,12,61,,True,35,proved symbolic instrumentation (not maintained),6000,5792,6000,"[6000, 6000, 5792]"
smoke,smoke-810001-13-sorted,sorted,810001,f04c2a3b27ce5873b8f940f13b91fb6b25903e761d5498519600292a22bca431,runs_count,reference,13,1,[13],13,12,12,0,12,0,False,,measured and independently checked,24541,23667,24750,"[24750, 24541, 23667]"
