shape,strategy,inputs,comparisons,checks,sum_input_median_ns
ALL,merge,28,2437,0,5022998
ALL,hybrid_4,28,2436,0,4845959
ALL,fixed_two,28,2535,293,4940084
ALL,fixed_three,28,2484,342,4957250
ALL,fixed_four,28,2484,365,4923750
ALL,runs_count,28,2290,726,6897624
ALL,runs_length,28,2192,726,7092290
duplicates,merge,2,269,0,569416
duplicates,hybrid_4,2,269,0,569125
duplicates,fixed_two,2,280,11,589166
duplicates,fixed_three,2,297,13,646625
duplicates,fixed_four,2,288,19,616501
duplicates,runs_count,2,302,68,823708
duplicates,runs_length,2,297,68,852208
edge_duplicates,merge,1,11,0,15125
edge_duplicates,hybrid_4,1,10,0,12667
edge_duplicates,fixed_two,1,14,5,16334
edge_duplicates,fixed_three,1,14,4,18042
edge_duplicates,fixed_four,1,12,3,16834
edge_duplicates,runs_count,1,14,6,19792
edge_duplicates,runs_length,1,14,6,22458
edge_empty,merge,1,0,0,583
edge_empty,hybrid_4,1,0,0,708
edge_empty,fixed_two,1,0,0,1917
edge_empty,fixed_three,1,0,0,2917
edge_empty,fixed_four,1,0,0,3958
edge_empty,runs_count,1,0,0,875
edge_empty,runs_length,1,0,0,958
edge_equal,merge,1,13,0,17417
edge_equal,hybrid_4,1,12,0,14208
edge_equal,fixed_two,1,11,7,10375
edge_equal,fixed_three,1,12,6,12834
edge_equal,fixed_four,1,13,5,14875
edge_equal,runs_count,1,8,8,14666
edge_equal,runs_length,1,8,8,14500
edge_length_witness,merge,1,45,0,63958
edge_length_witness,hybrid_4,1,46,0,64709
edge_length_witness,fixed_two,1,41,9,54000
edge_length_witness,fixed_three,1,42,11,53292
edge_length_witness,fixed_four,1,43,12,55000
edge_length_witness,runs_count,1,50,17,102084
edge_length_witness,runs_length,1,34,17,69625
edge_not_aligned,merge,1,25,0,31500
edge_not_aligned,hybrid_4,1,25,0,29917
edge_not_aligned,fixed_two,1,30,5,35000
edge_not_aligned,fixed_three,1,26,8,30208
edge_not_aligned,fixed_four,1,30,6,37541
edge_not_aligned,runs_count,1,25,10,36208
edge_not_aligned,runs_length,1,25,10,40708
edge_odd,merge,1,8,0,8291
edge_odd,hybrid_4,1,8,0,7542
edge_odd,fixed_two,1,10,2,10416
edge_odd,fixed_three,1,9,2,9042
edge_odd,fixed_four,1,8,1,8916
edge_odd,runs_count,1,11,4,12083
edge_odd,runs_length,1,10,4,13709
edge_pair,merge,1,1,0,1792
edge_pair,hybrid_4,1,1,0,1625
edge_pair,fixed_two,1,1,0,2084
edge_pair,fixed_three,1,1,0,3000
edge_pair,fixed_four,1,1,0,3750
edge_pair,runs_count,1,2,1,5000
edge_pair,runs_length,1,2,1,5916
edge_singleton,merge,1,0,0,583
edge_singleton,hybrid_4,1,0,0,875
edge_singleton,fixed_two,1,0,0,1416
edge_singleton,fixed_three,1,0,0,2250
edge_singleton,fixed_four,1,0,0,3292
edge_singleton,runs_count,1,0,0,1083
edge_singleton,runs_length,1,0,0,1000
long_runs,merge,2,234,0,535291
long_runs,hybrid_4,2,234,0,528417
long_runs,fixed_two,2,280,46,579708
long_runs,fixed_three,2,239,47,512500
long_runs,fixed_four,2,233,48,511542
long_runs,runs_count,2,174,68,671708
long_runs,runs_length,2,174,68,690459
perturbed,merge,2,189,0,359875
perturbed,hybrid_4,2,189,0,336958
perturbed,fixed_two,2,223,51,363958
perturbed,fixed_three,2,177,41,276458
perturbed,fixed_four,2,192,59,324875
perturbed,runs_count,2,140,68,478792
perturbed,runs_length,2,140,68,507333
random,merge,2,288,0,679334
random,hybrid_4,2,288,0,635083
random,fixed_two,2,294,6,665084
random,fixed_three,2,302,13,703083
random,fixed_four,2,300,12,707167
random,runs_count,2,320,68,864458
random,runs_length,2,315,68,932833
random_boundaries,merge,2,265,0,628542
random_boundaries,hybrid_4,2,265,0,610542
random_boundaries,fixed_two,2,286,21,631833
random_boundaries,fixed_three,2,280,25,641792
random_boundaries,fixed_four,2,284,33,622583
random_boundaries,runs_count,2,243,68,775916
random_boundaries,runs_length,2,235,68,774041
reverse,merge,2,200,0,340666
reverse,hybrid_4,2,200,0,325541
reverse,fixed_two,2,204,4,345626
reverse,fixed_three,2,208,6,387291
reverse,fixed_four,2,208,8,359833
reverse,runs_count,2,268,68,651083
reverse,runs_length,2,239,68,733333
short_runs,merge,2,274,0,626958
short_runs,hybrid_4,2,274,0,600458
short_runs,fixed_two,2,282,8,627083
short_runs,fixed_three,2,299,15,685333
short_runs,fixed_four,2,292,18,634583
short_runs,runs_count,2,279,68,796667
short_runs,runs_length,2,283,68,854042
skewed_runs,merge,2,202,0,354584
skewed_runs,hybrid_4,2,202,0,331791
skewed_runs,fixed_two,2,234,32,358875
skewed_runs,fixed_three,2,199,42,302251
skewed_runs,fixed_four,2,194,46,305375
skewed_runs,runs_count,2,192,68,702833
skewed_runs,runs_length,2,155,68,585792
sorted,merge,2,171,0,288167
sorted,hybrid_4,2,171,0,268126
sorted,fixed_two,2,100,66,117750
sorted,fixed_three,2,110,64,131166
sorted,fixed_four,2,130,62,178458
sorted,runs_count,2,68,68,289084
sorted,runs_length,2,68,68,292125
unequal_runs,merge,2,242,0,500916
unequal_runs,hybrid_4,2,242,0,507667
unequal_runs,fixed_two,2,245,20,529459
unequal_runs,fixed_three,2,269,45,539166
unequal_runs,fixed_four,2,256,33,518667
unequal_runs,runs_count,2,194,68,651584
unequal_runs,runs_length,2,193,68,701250
