stage,case_id,shape,seed,input_sha256,strategy,n,run_count,run_lengths,bound,check_comparisons,comparisons,conditional_applicable,conditional_bound,merge_or_sort_comparisons,tree_budget,plan,median_ns,min_ns,max_ns,median_scan_ns,median_plan_with_consumption_ns,median_merge_only_ns
calibration,calibration-101-11-short_runs,short_runs,101,6535a002b6111789d401acc599e9c30335ebb63c1adc05e6add7ac3b63c15cb0,hybrid_1,11,4,"[3, 2, 4, 2]",39,0,25,True,39,25,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",36083,34084,39875,,,
calibration,calibration-101-11-short_runs,short_runs,101,6535a002b6111789d401acc599e9c30335ebb63c1adc05e6add7ac3b63c15cb0,hybrid_4,11,4,"[3, 2, 4, 2]",32,0,25,True,32,25,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",29875,28625,32292,,,
calibration,calibration-101-11-short_runs,short_runs,101,6535a002b6111789d401acc599e9c30335ebb63c1adc05e6add7ac3b63c15cb0,hybrid_8,11,4,"[3, 2, 4, 2]",36,0,22,True,36,22,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",25834,25750,26000,,,
calibration,calibration-101-11-short_runs,short_runs,101,6535a002b6111789d401acc599e9c30335ebb63c1adc05e6add7ac3b63c15cb0,hybrid_16,11,4,"[3, 2, 4, 2]",55,0,28,True,55,28,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",35250,35167,35334,,,
calibration,calibration-101-11-short_runs,short_runs,101,6535a002b6111789d401acc599e9c30335ebb63c1adc05e6add7ac3b63c15cb0,hybrid_24,11,4,"[3, 2, 4, 2]",55,0,28,True,55,28,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",35208,34875,35208,,,
calibration,calibration-101-11-short_runs,short_runs,101,6535a002b6111789d401acc599e9c30335ebb63c1adc05e6add7ac3b63c15cb0,hybrid_64,11,4,"[3, 2, 4, 2]",55,0,28,True,55,28,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",35084,34875,35208,,,
calibration,calibration-101-11-random,random,101,59f5449c1622e27d1110ea198e56b454bf670d502f97894eb5113017567424b5,hybrid_1,11,7,"[2, 1, 2, 1, 3, 1, 1]",39,0,28,True,39,28,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",37667,37500,38125,,,
calibration,calibration-101-11-random,random,101,59f5449c1622e27d1110ea198e56b454bf670d502f97894eb5113017567424b5,hybrid_4,11,7,"[2, 1, 2, 1, 3, 1, 1]",32,0,28,True,32,28,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",35542,32292,36792,,,
calibration,calibration-101-11-random,random,101,59f5449c1622e27d1110ea198e56b454bf670d502f97894eb5113017567424b5,hybrid_8,11,7,"[2, 1, 2, 1, 3, 1, 1]",36,0,32,True,36,32,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",35625,35541,40375,,,
calibration,calibration-101-11-random,random,101,59f5449c1622e27d1110ea198e56b454bf670d502f97894eb5113017567424b5,hybrid_16,11,7,"[2, 1, 2, 1, 3, 1, 1]",55,0,48,True,55,48,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",69625,66458,75125,,,
calibration,calibration-101-11-random,random,101,59f5449c1622e27d1110ea198e56b454bf670d502f97894eb5113017567424b5,hybrid_24,11,7,"[2, 1, 2, 1, 3, 1, 1]",55,0,48,True,55,48,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",66833,66458,74792,,,
calibration,calibration-101-11-random,random,101,59f5449c1622e27d1110ea198e56b454bf670d502f97894eb5113017567424b5,hybrid_64,11,7,"[2, 1, 2, 1, 3, 1, 1]",55,0,48,True,55,48,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",67000,66667,70333,,,
calibration,calibration-101-25-sorted,sorted,101,129cb2459ac9d523cfbd159c5d8d1f243bb4356b46d81410d32b438f88af5154,hybrid_1,25,1,[25],118,0,54,True,118,54,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",96375,83750,98333,,,
calibration,calibration-101-25-sorted,sorted,101,129cb2459ac9d523cfbd159c5d8d1f243bb4356b46d81410d32b438f88af5154,hybrid_4,25,1,[25],102,0,53,True,102,53,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",77542,67208,89709,,,
calibration,calibration-101-25-sorted,sorted,101,129cb2459ac9d523cfbd159c5d8d1f243bb4356b46d81410d32b438f88af5154,hybrid_8,25,1,[25],116,0,45,True,116,45,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",67542,58750,69334,,,
calibration,calibration-101-25-sorted,sorted,101,129cb2459ac9d523cfbd159c5d8d1f243bb4356b46d81410d32b438f88af5154,hybrid_16,25,1,[25],169,0,35,True,169,35,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",54584,54541,63792,,,
calibration,calibration-101-25-sorted,sorted,101,129cb2459ac9d523cfbd159c5d8d1f243bb4356b46d81410d32b438f88af5154,hybrid_24,25,1,[25],169,0,35,True,169,35,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",57333,54708,64083,,,
calibration,calibration-101-25-sorted,sorted,101,129cb2459ac9d523cfbd159c5d8d1f243bb4356b46d81410d32b438f88af5154,hybrid_64,25,1,[25],300,0,24,True,300,24,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",65708,59917,76708,,,
calibration,calibration-101-25-reverse,reverse,101,cdb3351dca8100a99d9aec8a9b777eb14b7c4b5df9bef7c3dc5b68b49a00596e,hybrid_1,25,25,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",118,0,64,True,118,64,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",103667,97750,107917,,,
