shape,strategy,inputs,comparisons,checks,sum_input_median_ns
ALL,merge,98,58166,0,377387332
ALL,hybrid_8,98,58471,0,375933038
ALL,fixed_two,98,57030,3513,366390748
ALL,fixed_three,98,55483,4142,374865665
ALL,fixed_four,98,54730,4522,362416212
ALL,runs_count,98,49887,11566,604529042
ALL,runs_length,98,47797,11566,579710292
duplicates,merge,9,6783,0,42689751
duplicates,hybrid_8,9,6909,0,43207582
duplicates,fixed_two,9,6823,40,42660458
duplicates,fixed_three,9,6857,54,43665916
duplicates,fixed_four,9,6864,81,42729083
duplicates,runs_count,9,7166,1152,65493499
duplicates,runs_length,9,7141,1152,66229625
edge_duplicates,merge,1,11,0,14458
edge_duplicates,hybrid_8,1,12,0,12875
edge_duplicates,fixed_two,1,14,5,15875
edge_duplicates,fixed_three,1,14,4,17458
edge_duplicates,fixed_four,1,12,3,15375
edge_duplicates,runs_count,1,14,6,18750
edge_duplicates,runs_length,1,14,6,21500
edge_empty,merge,1,0,0,417
edge_empty,hybrid_8,1,0,0,500
edge_empty,fixed_two,1,0,0,1292
edge_empty,fixed_three,1,0,0,2083
edge_empty,fixed_four,1,0,0,2875
edge_empty,runs_count,1,0,0,667
edge_empty,runs_length,1,0,0,666
edge_equal,merge,1,13,0,15791
edge_equal,hybrid_8,1,11,0,11458
edge_equal,fixed_two,1,11,7,9541
edge_equal,fixed_three,1,12,6,11750
edge_equal,fixed_four,1,13,5,14125
edge_equal,runs_count,1,8,8,13625
edge_equal,runs_length,1,8,8,13333
edge_length_witness,merge,1,45,0,70792
edge_length_witness,hybrid_8,1,44,0,64750
edge_length_witness,fixed_two,1,41,9,64209
edge_length_witness,fixed_three,1,42,11,63250
edge_length_witness,fixed_four,1,43,12,62959
edge_length_witness,runs_count,1,50,17,106375
edge_length_witness,runs_length,1,34,17,75125
edge_not_aligned,merge,1,25,0,29667
edge_not_aligned,hybrid_8,1,26,0,30166
edge_not_aligned,fixed_two,1,30,5,34916
