stage,case_id,shape,seed,input_sha256,strategy,n,run_count,run_lengths,bound,check_comparisons,comparisons,conditional_applicable,conditional_bound,merge_or_sort_comparisons,tree_budget,plan,median_ns,min_ns,max_ns,median_scan_ns,median_plan_with_consumption_ns,median_merge_only_ns
calibration,calibration-9011-24-long_runs,long_runs,9011,01cd6dfbfefda79c09daa7a9ccdd9eb9e8f297bfb265c7b2591af2dde26d4060,hybrid_1,24,3,"[11, 6, 7]",112,0,72,True,112,72,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",136917,131334,140542,,,
calibration,calibration-9011-24-long_runs,long_runs,9011,01cd6dfbfefda79c09daa7a9ccdd9eb9e8f297bfb265c7b2591af2dde26d4060,hybrid_4,24,3,"[11, 6, 7]",96,0,72,True,96,72,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",121583,117334,124000,,,
calibration,calibration-9011-24-long_runs,long_runs,9011,01cd6dfbfefda79c09daa7a9ccdd9eb9e8f297bfb265c7b2591af2dde26d4060,hybrid_8,24,3,"[11, 6, 7]",108,0,68,True,108,68,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",116667,113167,121208,,,
calibration,calibration-9011-24-long_runs,long_runs,9011,01cd6dfbfefda79c09daa7a9ccdd9eb9e8f297bfb265c7b2591af2dde26d4060,hybrid_16,24,3,"[11, 6, 7]",156,0,71,True,156,71,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",131041,130625,131625,,,
calibration,calibration-9011-24-long_runs,long_runs,9011,01cd6dfbfefda79c09daa7a9ccdd9eb9e8f297bfb265c7b2591af2dde26d4060,hybrid_24,24,3,"[11, 6, 7]",276,0,105,True,276,105,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",260625,255208,266958,,,
calibration,calibration-9011-24-long_runs,long_runs,9011,01cd6dfbfefda79c09daa7a9ccdd9eb9e8f297bfb265c7b2591af2dde26d4060,hybrid_64,24,3,"[11, 6, 7]",276,0,105,True,276,105,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",264000,260250,268333,,,
calibration,calibration-9029-80-skewed_runs,skewed_runs,9029,aef0eed1fe3a5ecdc379ec5d88721ef90a651355d9de91e2a3c33f7fd0e295db,hybrid_1,80,6,"[1, 1, 5, 2, 1, 70]",512,0,296,True,512,296,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",1072709,1059959,1099417,,,
calibration,calibration-9029-80-skewed_runs,skewed_runs,9029,aef0eed1fe3a5ecdc379ec5d88721ef90a651355d9de91e2a3c33f7fd0e295db,hybrid_4,80,6,"[1, 1, 5, 2, 1, 70]",464,0,296,True,464,296,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",1027833,1017292,1070833,,,
calibration,calibration-9029-80-skewed_runs,skewed_runs,9029,aef0eed1fe3a5ecdc379ec5d88721ef90a651355d9de91e2a3c33f7fd0e295db,hybrid_8,80,6,"[1, 1, 5, 2, 1, 70]",480,0,285,True,480,285,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 8)""",1012667,998209,1097583,,,
calibration,calibration-9029-80-skewed_runs,skewed_runs,9029,aef0eed1fe3a5ecdc379ec5d88721ef90a651355d9de91e2a3c33f7fd0e295db,hybrid_16,80,6,"[1, 1, 5, 2, 1, 70]",600,0,261,True,600,261,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 16)""",976958,920791,1027542,,,
calibration,calibration-9029-80-skewed_runs,skewed_runs,9029,aef0eed1fe3a5ecdc379ec5d88721ef90a651355d9de91e2a3c33f7fd0e295db,hybrid_24,80,6,"[1, 1, 5, 2, 1, 70]",920,0,324,True,920,324,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 24)""",1236834,1162541,1299667,,,
calibration,calibration-9029-80-skewed_runs,skewed_runs,9029,aef0eed1fe3a5ecdc379ec5d88721ef90a651355d9de91e2a3c33f7fd0e295db,hybrid_64,80,6,"[1, 1, 5, 2, 1, 70]",1640,0,433,True,1640,433,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 64)""",2044875,1951167,2074917,,,
calibration,calibration-9011-24-random,random,9011,8b7df64c580eb4ca18e49357ae0e8f7d1871cdcc5b357b3f323d9190cb5dc9c1,hybrid_1,24,13,"[2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 4, 2]",112,0,86,True,112,86,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 1)""",163709,152417,168917,,,
calibration,calibration-9011-24-random,random,9011,8b7df64c580eb4ca18e49357ae0e8f7d1871cdcc5b357b3f323d9190cb5dc9c1,hybrid_4,24,13,"[2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 4, 2]",96,0,86,True,96,86,,"""LeanSort.CostedPlan.Schema.leaf (LeanSort.CostedPlan.Component.hybrid 4)""",152959,131084,181000,,,
