figure,strategy,length,input_median_ratio,input_p10,input_p90
01-scale,hybrid,32,0.8008298755186722,0.6832433930171268,1.3390862460875672
01-scale,hybrid,96,1.2200697982569098,0.7782817810809586,1.7558524130202402
01-scale,rule,32,1.387253112033195,1.137662604592647,3.0371239149321054
01-scale,rule,96,1.3398279305003453,0.9345363872425794,1.5908553822272662
01-scale,classifier,32,1.4757842323651453,1.1459053490891178,2.84589358182489
01-scale,classifier,96,1.360822257420288,0.9357316234339946,1.5948435050706962
01-scale,cost_ranking,32,1.5131286307053942,1.2478094494806342,2.880861047044403
01-scale,cost_ranking,96,1.3493388885063011,0.9148473369099343,1.6571915479479262
04-oracle,oracle,32,0.7883051907442151,0.6967453035363352,1.0
04-oracle,oracle,96,0.8543473714610076,0.7452994315912687,1.0
04-oracle,rule,32,0.9185428392745466,0.7079909777225427,1.3568992924823122
04-oracle,rule,96,1.0,0.7646696609223418,1.0
04-oracle,classifier,32,1.0,0.7079909777225427,1.0314666666666668
04-oracle,classifier,96,1.0,0.7646696609223418,1.0
04-oracle,cost_ranking,32,1.0,0.7079909777225427,1.0
04-oracle,cost_ranking,96,1.0,0.7646696609223418,1.0
