figure,strategy,length,input_median_ratio,input_p10,input_p90
01-scale,hybrid,32,0.8212521040343161,0.6732592209582903,1.4794208072994148
01-scale,hybrid,64,1.0542256356260258,0.7779261324041812,1.5736295654832373
01-scale,hybrid,96,1.2346480186480187,0.7181982429803307,1.8154633691684428
01-scale,hybrid,128,0.991878994223202,0.7057129260901145,2.064062745098039
01-scale,hybrid,256,1.1471698113207547,0.7726949108771483,1.8840200793697945
01-scale,hybrid,384,1.2256396225659643,0.7754729873208616,2.187898334572542
01-scale,hybrid,512,1.0069340528724375,0.8337950827661864,2.405338991865596
01-scale,hybrid,768,1.2083242925490087,0.7950179360976574,2.442288942510754
01-scale,hybrid,1024,1.0888664051289219,0.7938632573449216,2.0802725254573518
01-scale,hybrid,2048,1.0960050807499357,0.8227730534510028,2.8660104347506907
01-scale,rule,32,1.5758928571428572,1.1301706308169597,3.4909170978751516
01-scale,rule,64,1.5103231074303045,0.996300582872423,1.8939692284590046
01-scale,rule,96,1.3385650224215246,0.8469037034234924,1.5544840003983817
01-scale,rule,128,1.1878356338756513,0.8164233622453463,1.5176470588235293
01-scale,rule,256,1.132709433962264,0.8126578488465295,1.2611832461955588
01-scale,rule,384,1.080208253968254,0.8313825912097424,1.2028406204749502
01-scale,rule,512,1.0429793896608228,0.7984686390527729,1.1611719978406212
01-scale,rule,768,1.0498158189558593,0.8177641305154834,1.1322877401230316
01-scale,rule,1024,1.024796493425172,0.7862637757333704,1.0759556636325853
01-scale,rule,2048,1.0067975312724253,0.8285939845587871,1.0463914332710447
01-scale,classifier,32,1.7115472387037882,1.1606988969320924,3.0231201144996147
01-scale,classifier,64,1.4980954445511132,0.9170316624439768,1.867903080908217
01-scale,classifier,96,1.317903452051045,0.8783888283873393,1.5409449141125304
01-scale,classifier,128,1.1857983203953804,0.8190342299823014,1.4718745098039216
01-scale,classifier,256,1.1346316680779,0.8029696293653347,1.2308563671267065
01-scale,classifier,384,1.0917671265034454,0.8124012171216688,1.2031041526748063
01-scale,classifier,512,1.0421479255282207,0.7822602957107494,1.1128638919511622
01-scale,classifier,768,1.0522915103761379,0.8176908706723883,1.0905061853106752
01-scale,classifier,1024,1.0143915117348892,0.7908958108861743,1.0707037115287268
01-scale,classifier,2048,0.9675994673768309,0.8195987144081189,1.045700667796963
01-scale,cost_ranking,32,1.7638445154419595,1.1801882465986766,3.103441436080532
01-scale,cost_ranking,64,1.5336349215674754,0.9153138151080884,1.9605991942472978
01-scale,cost_ranking,96,1.342125970782442,0.9136333678289582,1.6112523475872758
01-scale,cost_ranking,128,1.21570898333938,0.8233776642372329,1.5829016302279977
01-scale,cost_ranking,256,1.1313185985009386,0.8322364345779949,1.2798257367731398
01-scale,cost_ranking,384,1.0832258613356018,0.8226386019382508,1.2014080399129112
01-scale,cost_ranking,512,1.044772403713913,0.8344574985452767,1.1714106463795788
01-scale,cost_ranking,768,1.0379892406555067,0.800444172567704,1.1119418518965474
01-scale,cost_ranking,1024,1.0182482613907693,0.7608313329355225,1.0710211158037273
01-scale,cost_ranking,2048,1.0142729705619982,0.8295159781103646,1.0515158625283079
04-oracle,oracle,32,0.7980412474512819,0.6523076923076923,0.9922120712895013
04-oracle,oracle,64,0.8361537493709109,0.7138304840239698,1.0
04-oracle,oracle,96,0.8240037631879578,0.6912772177955658,1.0
04-oracle,oracle,128,0.8435872724729143,0.735555526889488,1.0
04-oracle,oracle,256,0.9414551245165866,0.762652244744537,1.0
04-oracle,oracle,384,0.9127919817422673,0.7317404508787332,1.0
04-oracle,oracle,512,0.9009896952359593,0.7440822732870961,1.0
04-oracle,oracle,768,0.9271446702581394,0.7473245584335345,1.0
04-oracle,oracle,1024,0.9129130890052356,0.7587143688399581,1.0
04-oracle,oracle,2048,0.8967823807026744,0.7555326145705267,1.0
04-oracle,rule,32,0.9214577777777778,0.6639784946236559,1.5170344757449405
04-oracle,rule,64,1.0,0.7154148424578782,1.0
04-oracle,rule,96,1.0,0.7176090840922199,1.0
04-oracle,rule,128,1.0,0.758936288231576,1.0
04-oracle,rule,256,1.0,0.7915595252549859,1.0
04-oracle,rule,384,1.0,0.7735311808554264,1.0
04-oracle,rule,512,1.0,0.7567309517760884,1.0
04-oracle,rule,768,1.0,0.7880941964564991,1.0
04-oracle,rule,1024,1.0,0.8225827871142039,1.0
04-oracle,rule,2048,1.0,0.8005388528657575,1.0
04-oracle,classifier,32,1.0,0.6639784946236559,1.0972708930657322
04-oracle,classifier,64,1.0,0.7154148424578782,1.0
04-oracle,classifier,96,1.0,0.7176090840922199,1.0
04-oracle,classifier,128,0.940959409594096,0.758936288231576,1.0
04-oracle,classifier,256,1.0,0.7915595252549859,1.0
04-oracle,classifier,384,1.0,0.7735311808554264,1.0
04-oracle,classifier,512,0.970679012345679,0.7567309517760884,1.0
04-oracle,classifier,768,1.0,0.7880941964564991,1.0
04-oracle,classifier,1024,1.0,0.7990241508445294,1.0
04-oracle,classifier,2048,1.0,0.8005388528657575,1.0
04-oracle,cost_ranking,32,1.0,0.6639784946236559,1.0
04-oracle,cost_ranking,64,1.0,0.7154148424578782,1.0
04-oracle,cost_ranking,96,1.0,0.7176090840922199,1.0
04-oracle,cost_ranking,128,1.0,0.758936288231576,1.0
04-oracle,cost_ranking,256,1.0,0.7915595252549859,1.0
04-oracle,cost_ranking,384,1.0,0.7735311808554264,1.0
04-oracle,cost_ranking,512,1.0,0.7567309517760884,1.0
04-oracle,cost_ranking,768,1.0,0.7880941964564991,1.0
04-oracle,cost_ranking,1024,1.0,0.8225827871142039,1.0
04-oracle,cost_ranking,2048,1.0,0.8005388528657575,1.0
